Gmt time,Open,High,Low,Close,Volume
16.03.2017 00:00:00.000,51.975,51.975,51.975,51.975,0
16.03.2017 01:00:00.000,52.065,52.185,52.045,52.115,6294
16.03.2017 02:00:00.000,52.125,52.145,52.055,52.105,3739.0001
16.03.2017 03:00:00.000,52.105,52.135,52.065,52.115,4739
16.03.2017 04:00:00.000,52.110,52.125,52.075,52.105,1309
16.03.2017 05:00:00.000,52.110,52.125,52.065,52.095,5324.9998
16.03.2017 06:00:00.000,52.095,52.125,52.055,52.115,6325
16.03.2017 07:00:00.000,52.125,52.625,52.125,52.445,33388
16.03.2017 08:00:00.000,52.435,52.510,52.275,52.295,29163.9995
16.03.2017 09:00:00.000,52.295,52.375,52.185,52.345,25777.9993
16.03.2017 10:00:00.000,52.345,52.470,52.085,52.175,25307.9999
16.03.2017 11:00:00.000,52.170,52.305,52.125,52.270,21949.0007
16.03.2017 12:00:00.000,52.265,52.335,52.015,52.065,28229
16.03.2017 13:00:00.000,52.055,52.055,51.605,51.715,52677.0018
16.03.2017 14:00:00.000,51.720,51.980,51.595,51.840,40612.9993
16.03.2017 15:00:00.000,51.845,51.845,51.625,51.775,36641.0017
16.03.2017 16:00:00.000,51.770,51.785,51.485,51.725,40270.9991
16.03.2017 17:00:00.000,51.715,51.925,51.545,51.705,60609.0017
16.03.2017 18:00:00.000,51.715,51.865,51.625,51.675,56529.9988
16.03.2017 19:00:00.000,51.675,51.805,51.655,51.760,16471.0004
16.03.2017 20:00:00.000,51.755,51.755,51.660,51.665,7629.0001
16.03.2017 21:00:00.000,51.670,51.685,51.655,51.675,223
16.03.2017 22:00:00.000,51.675,51.675,51.675,51.675,0
16.03.2017 23:00:00.000,51.675,51.675,51.675,51.675,0
17.03.2017 00:00:00.000,51.675,51.675,51.675,51.675,0
17.03.2017 01:00:00.000,51.765,51.840,51.755,51.785,3442.9999
17.03.2017 02:00:00.000,51.755,51.780,51.725,51.750,2782
17.03.2017 03:00:00.000,51.745,51.785,51.725,51.755,3996.9999
17.03.2017 04:00:00.000,51.770,51.785,51.735,51.770,819
17.03.2017 05:00:00.000,51.765,51.785,51.735,51.770,2892.9999
17.03.2017 06:00:00.000,51.765,51.770,51.695,51.705,8324.0001
17.03.2017 07:00:00.000,51.710,51.725,51.535,51.575,26891.0006
17.03.2017 08:00:00.000,51.570,51.795,51.515,51.660,26816.9995
17.03.2017 09:00:00.000,51.660,51.925,51.615,51.925,26472.0004
17.03.2017 10:00:00.000,51.925,52.055,51.835,52.040,25433.0002
17.03.2017 11:00:00.000,52.035,52.065,51.885,51.920,22091.9997
17.03.2017 12:00:00.000,51.915,52.005,51.835,51.965,22095.0004
17.03.2017 13:00:00.000,51.965,52.145,51.935,51.975,31853.9999
17.03.2017 14:00:00.000,51.980,51.980,51.675,51.765,20692.0002
17.03.2017 15:00:00.000,51.775,51.805,51.585,51.665,14863.9996
17.03.2017 16:00:00.000,51.660,51.765,51.655,51.710,12230.0005
17.03.2017 17:00:00.000,51.705,51.785,51.645,51.705,11775
17.03.2017 18:00:00.000,51.715,51.845,51.695,51.755,19145.9991
17.03.2017 19:00:00.000,51.745,51.805,51.715,51.715,9634.9996
